zfin_id,zfin_symbol,zfin_name
ZDB-GENE-000208-18,urod,uroporphyrinogen decarboxylase
ZDB-GENE-000208-20,mixl1,Mix paired-like homeobox
ZDB-GENE-000208-21,kifc1,kinesin family member C1
ZDB-GENE-000208-23,col11a2,"collagen, type XI, alpha 2"
ZDB-GENE-000208-4,zic1,"zic family member 1 (odd-paired homolog, Drosophila)"
ZDB-GENE-000208-8,copg2,COPI coat complex subunit gamma 2
ZDB-GENE-000209-3,robo1,"roundabout, axon guidance receptor, homolog 1 (Drosophila)"
ZDB-GENE-000209-4,robo3,"roundabout, axon guidance receptor, homolog 3 (Drosophila)"
ZDB-GENE-000210-10,tpst1,tyrosylprotein sulfotransferase 1
ZDB-GENE-000210-13,nccrp1,"P1, F-box associated domain containing"
ZDB-GENE-000210-15,btg2,B-cell translocation gene 2
ZDB-GENE-000210-19,rbp4,"retinol binding protein 4, plasma"
ZDB-GENE-000210-20,cat,catalase
ZDB-GENE-000210-34,nme3,NME/NM23 nucleoside diphosphate kinase 3
ZDB-GENE-000210-35,nme7,NME/NM23 family member 7
ZDB-GENE-000210-8,pcna,proliferating cell nuclear antigen
ZDB-GENE-000223-14,phox2a,paired like homeobox 2A
ZDB-GENE-000308-1,igf2bp3,insulin-like growth factor 2 mRNA binding protein 3
ZDB-GENE-000329-4,notch2,notch receptor 2
ZDB-GENE-000329-5,notch3,notch receptor 3
ZDB-GENE-000330-4,stx1b,syntaxin 1B
ZDB-GENE-000330-5,cdc25b,cell division cycle 25B
ZDB-GENE-000330-8,coil,coilin p80
ZDB-GENE-000330-9,psen2,presenilin 2
ZDB-GENE-000403-1,axin1,axin 1
ZDB-GENE-000403-2,axin2,"axin 2 (conductin, axil)"
ZDB-GENE-000405-5,pbx2,pre-B-cell leukemia homeobox 2
ZDB-GENE-000405-6,dazl,deleted in azoospermia-like
ZDB-GENE-000406-10,ccnb1,cyclin B1
ZDB-GENE-000406-5,copz2,COPI coat complex subunit zeta 2
ZDB-GENE-000406-6,copz1,COPI coat complex subunit zeta 1
ZDB-GENE-000412-1,bdnf,brain-derived neurotrophic factor
ZDB-GENE-000427-2,mbl2,mannose binding lectin 2
ZDB-GENE-000427-7,tbx20,T-box transcription factor 20
ZDB-GENE-000501-1,celf1,"cugbp, Elav-like family member 1"
ZDB-GENE-000508-1,dct,dopachrome tautomerase
ZDB-GENE-000509-2,bmal2,basic helix-loop-helix ARNT like 2
ZDB-GENE-000511-1,hand2,heart and neural crest derivatives expressed 2
ZDB-GENE-000511-2,pycard,PYD and CARD domain containing
ZDB-GENE-000511-3,dap,death-associated protein
ZDB-GENE-000511-5,tradd,tnfrsf1a-associated via death domain
ZDB-GENE-000511-8,slc40a1,solute carrier family 40 member 1
ZDB-GENE-000516-1,fbxw4,F-box and WD repeat domain containing 4
ZDB-GENE-000523-2,pou4f1,POU class 4 homeobox 1
ZDB-GENE-000526-1,hey2,hes-related family bHLH transcription factor with YRPW motif 2
ZDB-GENE-000605-1,runx1,RUNX family transcription factor 1
ZDB-GENE-000605-2,runx3,RUNX family transcription factor 3
ZDB-GENE-000607-13,sox5,SRY-box transcription factor 5
ZDB-GENE-000607-21,slc7a6,solute carrier family 7 member 6
ZDB-GENE-000607-52,kat6b,K(lysine) acetyltransferase 6B
ZDB-GENE-000607-70,hey1,hes-related family bHLH transcription factor with YRPW motif 1
ZDB-GENE-000607-75,noc2l,NOC2-like nucleolar associated transcriptional repressor
ZDB-GENE-000607-82,wwp2,WW domain containing E3 ubiquitin protein ligase 2
ZDB-GENE-000616-11,whr1,winged helix repair factor 1
ZDB-GENE-000616-14,gart,phosphoribosylglycinamide formyltransferase
ZDB-GENE-000616-15,foxh1,forkhead box H1
ZDB-GENE-000616-16,hsf1,heat shock transcription factor 1
ZDB-GENE-000616-4,apaf1,apoptotic peptidase activating factor 1
ZDB-GENE-000616-5,adar,adenosine deaminase RNA specific
ZDB-GENE-000616-6,myf5,myogenic factor 5
ZDB-GENE-000619-1,cxcl14,chemokine (C-X-C motif) ligand 14
ZDB-GENE-000622-1,gata6,GATA binding protein 6
ZDB-GENE-000629-1,rplp0,"ribosomal protein, large, P0"
ZDB-GENE-000629-2,ngfb,nerve growth factor b (beta polypeptide)
ZDB-GENE-000629-3,ybx1,Y box binding protein 1
ZDB-GENE-000710-1,gpr173,G protein-coupled receptor 173
ZDB-GENE-000710-2,gpr85,G protein-coupled receptor 85
ZDB-GENE-000710-3,nme6,NME/NM23 nucleoside diphosphate kinase 6
ZDB-GENE-000713-1,casp8,"caspase 8, apoptosis-related cysteine peptidase"
ZDB-GENE-000804-1,per3,period circadian clock 3
ZDB-GENE-000816-1,fgfr3,fibroblast growth factor receptor 3
ZDB-GENE-000831-6,pim2,"Pim-2 proto-oncogene, serine/threonine kinase"
ZDB-GENE-000906-1,sptb,"spectrin, beta, erythrocytic"
ZDB-GENE-000906-2,hspe1,heat shock 10 protein 1
ZDB-GENE-000906-3,ctnnbip1,"catenin, beta interacting protein 1"
ZDB-GENE-000920-1,edn1,endothelin 1
ZDB-GENE-000926-1,atoh7,atonal bHLH transcription factor 7
ZDB-GENE-000928-1,fech,ferrochelatase
ZDB-GENE-001006-1,fgf4,fibroblast growth factor 4
ZDB-GENE-001019-1,robo2,"roundabout, axon guidance receptor, homolog 2 (Drosophila)"
ZDB-GENE-001030-2,pax5,paired box 5
ZDB-GENE-001030-3,pax8,paired box 8
ZDB-GENE-001101-1,nos1,nitric oxide synthase 1 (neuronal)
ZDB-GENE-001103-3,fezf2,FEZ family zinc finger 2
ZDB-GENE-001106-1,wnt3a,"wingless-type MMTV integration site family, member 3A"
ZDB-GENE-001120-2,stard3,StAR related lipid transfer domain containing 3
ZDB-GENE-001120-3,star,steroidogenic acute regulatory protein
ZDB-GENE-001205-4,ctsk,cathepsin K
ZDB-GENE-001206-2,lbx2,ladybird homeobox 2
ZDB-GENE-001207-1,supt5h,"SPT5 homolog, DSIF elongation factor subunit"
ZDB-GENE-001207-3,arnt2,aryl-hydrocarbon receptor nuclear translocator 2
ZDB-GENE-001208-4,psmb7,proteasome 20S subunit beta 7
ZDB-GENE-001219-1,htatip2,HIV-1 Tat interactive protein 2
ZDB-GENE-001221-1,nrf1,nuclear respiratory factor 1
ZDB-GENE-001222-1,vsx2,visual system homeobox 2
ZDB-GENE-001228-2,s1pr1,sphingosine-1-phosphate receptor 1
ZDB-GENE-001229-1,alas2,"aminolevulinate, delta-, synthase 2"
ZDB-GENE-001229-2,alas1,"aminolevulinate, delta-, synthase 1"
ZDB-GENE-010102-1,dcn,decorin
ZDB-GENE-010110-1,hsd17b8,hydroxysteroid (17-beta) dehydrogenase 8
ZDB-GENE-010110-3,daxx,death-domain associated protein
ZDB-GENE-010110-4,zbtb22b,zinc finger and BTB domain containing 22b
ZDB-GENE-010125-1,oprm1,"opioid receptor, mu 1"
ZDB-GENE-010129-1,klf17,Kruppel like factor 17
